addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
**ES ARMSTRONG AV 125 FT S OF RIDGE AV,2700.0,2012,0.0,2700.0,1310.53,4275,026,28,0,0,2750.0,R-4,,,,,
**ES ARMSTRONG AV 250 FT S OF RIDGE AV,2700.0,2012,0.0,2700.0,1264.66,4275,031,28,0,0,2750.0,R-4,,,,,
**ES ARMSTRONG AV 325 FT N OF RIDGE AV,6100.0,2012,0.0,6100.0,421.16,4265,015,28,0,0,7630.0,MAP,,,,,
**ES BELAIR ROAD SEC RAVENWOOD AVE,67800.0,2012,0.0,67800.0,809.15,4178,006,8,0,0,22624.17,B-3-2,3500.0,0.0,809.15,,60.0
**ES BROENING HWY NEC BESSEMER AV,23700.0,2012,0.0,23700.0,4189.5,6813,039,26,0,0,,R-6,,,,,
**ES BROENING HWY SEC BESSEMER AV,35700.0,2012,0.0,35700.0,5829.24,6812,011,26,0,0,,O-R-2,,,,,
**ES CLARKDALE RD 245 FT S OF GORDON RD,13700.0,2012,0.0,13700.0,457.22,3357D,006,13,0,0,20250.0,R-5,,,,,
**ES CLARKDALE RD 295 FT S OF GORDON RD,15300.0,2012,0.0,15300.0,501.3,3357D,005,13,0,0,20250.0,R-5,,,,,
**ES DENISON ST SEC HARLEM AV,1000.0,2012,0.0,1000.0,377.97,2483,015O,16,0,0,957.0,R-6,,,,,
**ES GABLE AV 161-2 FT S OF W PATAPSCO AV,1900.0,2012,0.0,1900.0,1271.12,7515,007,25,0,0,1904.0,M-1-1,,,,,
**ES HAZLETT AV 500 FT N OF OVERTON ST,2400.0,2012,0.0,2400.0,568.76,8186,009,25,0,0,2500.0,R-5,,,,,
**ES HOWARD PARK AV 166-6 FT N OF HADDON AV,4300.0,2012,0.0,4300.0,1470.36,8243,041,28,0,0,8750.0,R-3,,,,,
**ES JOSEPH AV 614 FT N OF CHERRY HILL RD,3100.0,2012,0.0,3100.0,1673.69,7646,055,25,0,0,3125.0,R-6,,,,,
**ES LEVIN RD 135 FT S OF RIVERSIDE RD,4400.0,2012,0.0,4400.0,462.93,7027D,019,25,0,0,1235.33,M-2-1,,,,,
**ES LEVIN RD 143-6 FT S OF RIVERSIDE RD,5200.0,2012,0.0,5200.0,518.63,7027D,020,25,0,0,1096.5,M-2-1,,,,,
**ES LEVIN RD 152 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,948.1,7027D,021,25,0,0,3250.0,M-2-1,,,,,
**ES LEVIN RD 177 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,486.93,7027D,022,25,0,0,3262.5,M-2-1,,,,,
**ES LEVIN RD 202 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,494.47,7027D,023,25,0,0,3275.0,M-2-1,,,,,
